127.0.0.1, 2018-09-02 13:05:34, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/default/index, HTTP/1.1, 200, 1.209000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-09-02 13:05:35, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-09-02 13:05:36, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-02 13:05:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/default/index, HTTP/1.1, 200, 0.274000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2018-09-02 13:05:39, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
